"Genes","LundEAC","MSK2020_EAConly","TCGA_2017_only","esca_broad","is_oesophageal","is_predicted_driver","p_value","fdr_p_value","is_significant_fdr"
"SIX6",0.03125,NA,NA,0.007,FALSE,FALSE,0.0164888383769535,0.0481883106055152,TRUE
"SON",0.03125,NA,0.025,0.013,FALSE,FALSE,0.0560494958813703,0.104607227461765,FALSE
"SOX3",0.03125,NA,NA,0.007,FALSE,FALSE,0.0164888383769535,0.0481883106055152,TRUE
"STAT3",0.03125,0.008,0.038,0.007,FALSE,TRUE,0.122184432380509,0.188784963145295,FALSE
"STK11",0.03125,0.031,0.013,0.007,FALSE,FALSE,0.367782692882071,0.430602718063792,FALSE
"SUPV3L1",0.03125,NA,NA,0.007,FALSE,FALSE,0.0164888383769535,0.0481883106055152,TRUE
"TGFBR2",0.03125,0.014,0.063,0.007,FALSE,TRUE,0.0251942098561941,0.0646137218760897,FALSE
"TRIOBP",0.03125,NA,0.076,0.02,FALSE,FALSE,0.000184417897800354,0.0016168731969938,TRUE
"WT1",0.03125,0.007,0.038,0.013,FALSE,TRUE,0.165326347310635,0.236988718388249,FALSE
"ZFHX4",0.03125,NA,0.139,0.119,FALSE,FALSE,6.25977646054731e-09,3.63274804180968e-07,TRUE
"ZNF217",0.03125,NA,0.025,0.007,FALSE,FALSE,0.0321869626098634,0.0751021612407144,FALSE
"ZNF276",0.03125,NA,0.013,NA,FALSE,FALSE,0.00902328716052735,0.033350777054106,TRUE
"ZNF717",0.03125,NA,0.013,NA,FALSE,FALSE,0.00902328716052735,0.033350777054106,TRUE
"",0.015625,NA,NA,NA,FALSE,FALSE,0.044458359329758,0.0877528872634491,FALSE
"ACTN3",0.015625,NA,0.013,NA,FALSE,FALSE,0.0984917565981065,0.158005924414835,FALSE
"AHR",0.015625,NA,NA,0.02,FALSE,FALSE,0.0719845352924968,0.128010234930525,FALSE
"AKT1",0.015625,NA,0.013,NA,FALSE,FALSE,0.0984917565981065,0.158005924414835,FALSE
"ANOS1",0.015625,NA,0.013,NA,FALSE,FALSE,0.0984917565981065,0.158005924414835,FALSE
"ARAF",0.015625,0.003,0.025,NA,FALSE,FALSE,0.0922755478609396,0.157926197833114,FALSE
