Gene	mut	gain	loss
VHGC_12	0	0	0
LOXL1	0	1.5625	0
IDH2	0	4.6875	0
ST_004_R	0	6.25	0
GS_039	0	4.6875	0
GS_079	0	4.6875	0
CS_278	0	0	0
SOCS1	0	0	0
SH_004_R	0	3.125	0
GS_083	0	0	0
CBFB	0	0	0
CTCF	0	0	0
LH_011_R	0	0	0
GI_085	0	0	0
DNAAF1	0	0	0
MAP1LC3B	0	0	0
GS_090	0	0	0
AURKB	0	0	-1.5625
GS_063	0	1.5625	0
ATPAF2	0	0	0
RAD51D	0	0	0
CS_341	0	0	0
ATP6V0A1	0	0	0
NME2	0	1.5625	0
SQ_004_R	0	3.125	0
BRIP1	0	1.5625	0
CDK3	0	0	0
GS_036	0	4.6875	0
VHGC_13	0	0	0
GS_029	0	0	0
CS_363	0	0	0
SQ_002_R	0	0	0
VLGC_10	0	0	0
LQ_005_R	0	0	0
GADD45B	0	0	0
CS_383	0	0	0
PRDX2	0	0	0
GS_054	0	0	0
CEBPA	0	6.25	0
MAG	0	7.8125	0
LHB	0	4.6875	0
GS_064	0	4.6875	0
LQ_007_R	0	6.25	0
SNAP25	0	6.25	0
LH_005_R	0	7.8125	0
TOP1	0	9.375	0
ARFRP1	0	9.375	0
CXADR	0	1.5625	0
SD_005_R	0	0	0
CS_471	0	0	0
ERG	0	0	-1.5625
CRKL	0	0	-1.5625
SQ_001_R	0	0	-1.5625
GS_060	0	0	0
ADRBK2	0	0	0
NF2	0	0	0
SOX10	0	0	0
CYP2D6	0	0	-17.1875
